,played,won,draw,lost,scored,conceived,diff
ApollonLarisas,5,0,2,3,1,5,-4
Karaiskakis,5,0,3,2,5,8,-3
Ergotelis,4,2,0,2,2,4,-2
DoxaDramas,2,0,0,2,0,2,-2
Kissamikos,4,0,3,1,2,3,-1
OFIIerapetras,5,0,3,2,4,4,0
Diagoras,5,2,3,0,6,6,0
Levadiakos,5,3,2,0,8,8,0
Xanthi,4,1,3,0,3,2,1
Ionikos,5,2,2,1,5,4,1
Trikala,5,2,2,1,7,5,2
PanahaikiPatras,5,2,3,0,9,7,2
