,played,won,draw,lost,scored,conceived,diff
SantosdeGuapiles,19,4,7,8,14,22,-8
PerezZeledon,19,5,4,10,21,25,-4
Limon,19,6,7,6,15,18,-3
Grecia,20,2,8,10,15,18,-3
SportingSanJose,21,6,5,10,24,22,2
SanCarlos,19,6,8,5,14,10,4
Jicaral,20,6,8,6,21,15,6
Herediano,20,7,7,6,31,25,6
Guadelupe,19,6,4,9,28,22,6
Alajuelense,20,14,3,3,41,34,7
Cartagines,21,11,3,7,38,22,16
Saprissa,21,11,6,4,41,25,16
