,played,won,draw,lost,scored,conceived,diff
Saham,11,2,1,8,7,15,-8
Muscat,11,1,4,6,5,11,-6
Mirbat,3,0,0,3,1,5,-4
AlIttehad,8,1,5,2,7,10,-3
AlMsnaa,8,4,2,2,11,13,-2
Nizwa,8,1,2,5,5,6,-1
Sohar,11,2,2,7,7,8,-1
OmanFC,11,3,2,6,5,5,0
AlArouba,3,2,1,0,6,6,0
AlSuwaiq,11,5,1,5,11,10,1
Fanja,3,3,0,0,6,4,2
AlNasr,11,4,4,3,9,7,2
AlRustaq,11,4,2,5,11,9,2
AlNahda,11,3,4,4,11,8,3
BahlaClub,11,4,6,1,18,10,8
AlSeeb,11,9,2,0,24,14,10
Dhufar,11,9,2,0,23,13,10
