,played,won,draw,lost,scored,conceived,diff
Ujpesti,18,5,4,9,22,31,-9
Budafoki,18,4,5,9,20,27,-7
Kisvarda,19,7,7,5,20,24,-4
Diosgyori,18,4,2,12,21,21,0
BudapestHonved,18,5,6,7,28,28,0
ZalaegerszegTE,17,6,4,7,34,33,1
Puskas,18,9,2,7,24,22,2
MTK,18,7,5,6,26,24,2
MezokovesdiSE,18,7,3,8,19,17,2
PaksiSE,18,7,4,7,35,27,8
FehervarFC,16,8,4,4,39,25,14
Ferencvarosi,18,13,4,1,36,21,15
