,played,won,draw,lost,scored,conceived,diff
OFICrete,26,5,5,16,24,37,-13
Lamia,18,2,5,11,10,20,-10
ApollonSmirnis,19,5,3,11,19,27,-8
Larissa,19,1,6,12,9,16,-7
Panaitolikos,16,2,6,8,9,14,-5
VolosNps,20,5,9,6,20,24,-4
PASGiannina,15,3,5,7,14,17,-3
ArisSalonika,26,13,4,9,29,30,-1
AsterasTripoli,16,7,4,5,15,16,-1
Atromitos,14,4,6,4,13,13,0
Panathinaikos,24,12,6,6,27,22,5
PAOKSalonika,22,11,8,3,30,22,8
AEKAthens,21,14,4,3,38,30,8
Olympiacos,22,18,3,1,57,32,25
