,played,won,draw,lost,scored,conceived,diff
HawkesBayUnited,7,2,0,5,7,17,-10
WaitakereUnited,7,1,4,2,12,18,-6
CanterburyUnited,9,3,2,4,13,16,-3
Wanderers,8,3,2,3,13,15,-2
WellingtonPhoenixReserves,8,2,2,4,12,10,2
TeamWellington,6,3,3,0,13,8,5
AucklandCity,10,6,2,2,19,13,6
EasternSuburbs,9,3,3,3,18,9,9
