,played,won,draw,lost,scored,conceived,diff
Admira,16,2,4,10,14,24,-10
CSRAltach,17,3,2,12,14,21,-7
Wolfsberger,17,7,4,6,30,35,-5
Hartberg,17,4,7,6,22,27,-5
SVRied,15,4,2,9,17,21,-4
StPolten,16,5,4,7,28,32,-4
AustriaVienna,17,6,6,5,21,24,-3
SVMattersburg,1,0,0,1,0,0,0
WSGWattens,16,7,4,5,27,23,4
SKSturmGraz,17,8,4,5,27,20,7
LASKLinz,17,8,3,6,31,20,11
RapidVienna,17,11,3,3,38,27,11
RBSalzburg,17,13,1,3,52,34,18
