,played,won,draw,lost,scored,conceived,diff
Macarthur,5,2,1,2,4,9,-5
PerthGlory,10,4,0,6,21,25,-4
MelbourneVictory,9,2,1,6,12,16,-4
SydneyFC,10,3,3,4,13,15,-2
WellingtonPhoenix,10,2,3,5,10,12,-2
WestSydney,10,4,3,3,13,14,-1
CentralCoastMariners,9,4,2,3,10,11,-1
BrisbaneRoar,8,4,2,2,12,12,0
MelbourneCity,7,4,1,2,11,10,1
WesternUnited,10,5,2,3,18,17,1
NewcastleJets,10,4,2,4,12,11,1
AdelaideUnited,10,4,4,2,17,12,5
