,played,won,draw,lost,scored,conceived,diff
SkenderbeuKorce,22,5,7,10,25,30,-5
LuftetariGjirokaster,5,0,0,5,3,8,-5
ApoloniaFier,17,3,4,10,12,17,-5
BylisBallsh,22,4,8,10,19,23,-4
FlamurtariVlore,5,0,1,4,6,8,-2
KastriotiKruje,17,5,6,6,16,16,0
TeutaDurres,22,8,10,4,22,20,2
Kukesi,22,11,3,8,34,32,2
KFTirana,22,6,10,6,21,16,5
Vllaznia,22,13,5,4,28,19,9
PartizaniTirana,22,8,10,4,29,16,13
Laci,22,12,6,4,36,21,15
