,played,won,draw,lost,scored,conceived,diff
Chinandega,19,4,6,9,21,29,-8
JuniorManagua,18,2,9,7,16,21,-5
RealMadriz,14,2,4,8,11,12,-1
Managua,16,4,4,8,22,23,-1
DeportivoOcotal,12,3,1,8,10,7,3
JuventusManagua,18,8,3,7,26,21,5
WalterFerreti,19,9,5,5,29,21,8
RealEsteli,18,12,4,2,34,22,12
MunicipalJalapa,15,8,4,3,21,8,13
Diriangen,17,10,2,5,32,18,14
