date,league,home-team,home-score,away-team,away-score
20200811,Brazil Serie B,Botafogo,2,Confianca,0
20200811,Brazil Serie B,BrasilDePelotas,1,PontePreta,1
20200811,Brazil Serie B,SampaioCorrea,0,JuventudeRS,1
20200811,Paraguay Division Profesional,NacionalAsuncion,3,GeneralDiaz,0
20200811,Morocco GNF 1,OlympiqueSafi,0,MaghribTetouan,0
20200811,Europa League,ShakhtarDonetsk,4,Basle,1
20200811,Europa League,Wolverhampton,0,Sevilla,1
20200811,Morocco GNF 1,AthleticYoussoufia,1,MouloudiaOujda,1
20200811,Morocco GNF 1,HassaniaAgadir,0,RajaCasablanca,2
20200811,Bosnia and Herzegovina Premier League,SirokiBrijeg,2,VelezMostar,2
20200811,Sweden Superettan,Halmstads,2,Osters,0
20200811,Sweden Superettan,AkropolisIF,1,GIFSundsvall,1
20200811,Scotland Premiership,DundeeUtd,0,Hibernian,1
20200811,Norway 1. Division,KFUMOslo,1,Lillestrom,2
20200811,Bulgaria A PFG,TsarskoSeloSofia,3,Etar,0
20200811,Russia Premier League,RubinKazan,0,LokomotivMoscow,2
20200811,Slovenia 2. SNL,Krka,2,RudarVelenje,2
20200811,South Africa Premiership,MamelodiSundowns,0,OrlandoPirates,0
20200811,Russia Premier League,RotorVolgograd,0,ZenitStPetersburg,2
20200811,Bosnia and Herzegovina Premier League,Zeljeznicar,2,BoracBanjaLuka,1
20200811,Georgia Umaglesi Liga,Samtredia,1,SaburtaloTbilisi,2
20200811,China Super League,ChongqingLifan,0,QingdaoHuanghai,0
20200811,China Super League,FujianJunhao,3,TianjinTeda,0
20200811,Australia A League,MelbourneCity,2,AdelaideUnited,2
20200810,Morocco GNF 1,DifaaHassaniJdidi,1,FARRabat,1
20200810,Europa League,InterMilan,2,BayerLeverkusen,1
20200810,Europa League,ManUtd,0,FCCopenhagen,0
20200810,Egypt Premier League,AlIttihad,1,Zamalek,1
20200810,Morocco GNF 1,WydadCasablanca,3,Khouribga,2
20200810,Norway Tippeligaen,Molde,1,SKBrann,2
20200810,Saudi Arabia Pro League,AlHilal,2,AlFateh,1
20200810,Jordan Pro League,AlJazeeraJordan,3,AlAqaba,1
20200810,Jordan Pro League,AlFaysali,1,AlHussein,1
20200810,Sweden Allsvenskan,Helsingborgs,3,IFKNorrkoping,2
20200810,Sweden Allsvenskan,IKSirius,3,Varbergs,3
20200810,Belgium Juliper League,OudHeverlee,1,Eupen,1
20200810,Belgium Juliper League,Oostende,1,BeerschotWilrijk,2
20200810,Bulgaria A PFG,LevskiSofia,0,BeroeStaraZagora,2
20200810,Georgia Umaglesi Liga,DilaGori,0,LokomotiviTbilisi,1
20200810,Egypt Premier League,PyramidsFC,3,Tanta,0
20200810,Saudi Arabia Pro League,AlHazm,1,AlAdalhFC,2
20200810,Saudi Arabia Pro League,AbhaClub,0,AlNassr,2
20200810,Saudi Arabia Pro League,AlShababRiyadh,1,AlTaawon,0
