date,league,home-team,home-score,away-team,away-score
20201009,Brazil Serie B,AmericaMineiro,2,Nautico,0
20201009,Brazil Serie B,CuiabaEsporteClube,2,PontePreta,1
20201009,Chile Primera,CoquimboUnido,2,ColoColo,2
20201009,Peru Primera Division,AlianzaUniversidad,0,UniversidadCesarVallejo,0
20201009,Brazil Serie B,Operario,1,Confianca,1
20201009,Holland Eerste Divisie,FCEindhoven,1,ExcelsiorRotterdam,1
20201009,Brazil Serie B,Figueirense,0,Chapecoense,0
20201009,Ireland Division 1,AthloneTown,2,UCD,4
20201009,Ireland Division 1,CabinteelyFC,0,LongfordTown,3
20201009,Ireland Division 1,WexfordYouths,0,CobhRamblers,4
20201009,Scottish League Cup,Dunfermline,2,Falkirk,0
20201009,England League 1,FleetwoodTown,4,Hull,1
20201009,Scottish League Cup,Dunfermline,2,Falkirk,0
20201009,Wales Premier League,CaernarfonTown,1,NewiCefnDruids,2
20201009,Chile Primera,UnionEspanola,2,CuricoUnido,1
20201009,Egypt Premier League,Smouha,2,AlIttihad,1
20201009,Peru Primera Division,Ayacucho,1,UTCDeCajamarca,1
20201009,France National,QuevillyRouen,3,Orleans,1
20201009,France National,RedStar,1,Creteil,0
20201009,France National,Boulogne,1,Concarneau,1
20201009,France National,BourgPeronnas,1,VillefrancheSurSaone,0
20201009,France National,LyonDuchere,1,BastiaBorgo,2
20201009,France National,Cholet,5,SaintBrieuc,4
20201009,France National,LeMans,1,Sete,34
20201009,France National,Avranches,1,Annecy,3
20201009,Germany Regionalliga Southwest,KickersOffenbach,3,BayernAlzenau,0
20201009,Germany Regionalliga Southwest,SonnenhofGrossaspach,3,Ulm,1
20201009,Ireland Premier,Bohemians,3,Cork,0
20201009,Germany Regionalliga Southwest,TSGBalingen,0,Steinbach,1
20201009,Peru Primera Division,DeportivoLlacuabamba,0,SportHuancayo,2
20201009,Chile Primera B,Barnechea,1,UnionSanFelipe,0
20201009,Russia 1. Division,Olimpyets,2,BaltikaKaliningrad,1
20201009,Egypt Premier League,Tanta,2,AlMoqawloonAlArab,2
20201009,Russia 1. Division,DynamoBryansk,2,ShinnikJaroslavl,0
20201009,Russia 1. Division,Neftekhimik,3,FakelWorenesch,1
20201009,Russia 1. Division,ChertanovoMoscow,1,KrasnodarII,0
20201009,Russia 1. Division,AlaniaVladikavkaz,2,VolgarGazpromAstrakhan,0
20201009,Russia 1. Division,SpartakMoscowII,1,ChaykaPeschanokopskoye,2
20201009,Russia 1. Division,GazovikOrenburg,2,EnergiyaKhabarovsk,2
20201009,Russia 1. Division,IrtyshOmsk,0,TorpedoMoscow,2
20201009,Egypt Premier League,AlMasry,2,Ismaily,0
20201009,Serbia Prva Liga,NoviBeograd,2,Loznica,3
20201009,Vietnam V League,Viettel,4,HoangAnhGiaLai,1
20201009,Russia 1. Division,YeniseyKrasnoyarsk,2,Veles,0
20201009,Germany Regionalliga West,BorussiaMonchengladbachII,1,FCKolnII,2
20201009,Russia 1. Division,Tomsk,2,Akron,1
20201009,Russia 1. Division,TekstilshchikIvanovo,0,KrylyaSovetov,3
20201009,Colombia Copa Mustang,Medellin,4,Cucuta,1
20201009,Brazil Serie A,Bragantino,0,Internacional,2
20201009,Colombia Copa Mustang,ChicoFC,1,JaguaresdeCordoba,0
20201015,Ecuador Liga Pro,LDUPortoviejo,3,ElNacional,0
20201015,Chile Primera,AudaxItaliano,2,OHiggins,1
20201015,Colombia Copa Mustang,DeportesTolima,3,AlianzaPetrolera,1
20201015,Ecuador Liga Pro,Olmedo,1,RiverPlateEcuador,2
20201015,Peru Primera Division,SportingCristal,1,Universitario,0
20201015,Portugal LigaPro,Feirense,0,Chaves,4
20201015,Colombia Copa Mustang,Medellin,1,JaguaresdeCordoba,1
20201015,Chile Primera,Antofagasta,1,UniversidaddeChile,0
20201015,Germany DFB Pokal,FCDuren,0,BayernMunich,3
20201015,Egypt Premier League,AlMoqawloonAlArab,0,Enppi,2
20201015,Holland Eerste Divisie,FCDenBosch,1,AlmereCity,1
20201015,France National,Creteil,2,Bastia,0
20201015,Chile Primera,SantiagoWanderers,0,UnionLaCalera,3
20201015,Colombia Copa Mustang,SantaFe,1,LaEquidad,0
20201015,Estonia Esiliiga,FloraII,2,LevadiaTallinnII,3
20201015,Finland Veikkausliiga,FCHonka,1,IFKMariehamn,0
20201015,Finland Veikkausliiga,SJK,1,HJKHelsinki,2
20201015,Finland Veikkausliiga,FCInter,2,KuPS,0
20201015,Finland Veikkausliiga,HIFK,1,FCIlves,2
20201015,Finland Ykkonen,FCKooTeePee,0,KPV,0
20201015,Finland Veikkausliiga,Rops,0,Lahti,4
20201015,Egypt Premier League,Ismaily,4,AswanFC,2
20201015,Chile Primera,UniversidaddeConcepcion,1,MunicipalIquique,1
20201015,China League One,ChengduQianbao,1,NeiMongolZhongyou,0
20201015,China League One,HubeiHuakaier,0,Kunshan,1
20201015,USA Major League Soccer,LAGalaxy,0,SanJose,4
20201015,Ecuador Liga Pro,Emelec,1,Orense,0
