date,league,home-team,home-score,away-team,away-score
20210101,England Premier League,ManUtd,2,AstonVilla,1
20210101,England Championship,SheffWed,1,Derby,0
20210101,England Premier League,Everton,0,WestHam,1
20210101,Egypt Premier League,AlAhly,0,WadiDegla,0
20210101,Bahrain Premier League,AlNajma,0,AlAhliManama,1
20210101,United Arab Emirates UFL,AlWasl,2,ShababAlAhliDubai,2
20210101,Scottish Cup,BonnyriggRose,5,BonessUnited,2
20210101,Egypt Premier League,PyramidsFC,3,ElEntagElHarby,2
20210101,Saudi Arabia Pro League,AlEttifaq,1,AlWehda,2
20210101,Algeria Ligue 1,MCAlger,1,CSConstantine,0
20210101,Algeria Ligue 1,HusseinDey,0,ESSetif,1
20210101,Bahrain Premier League,Manama,1,AlBadii,0
20210101,United Arab Emirates UFL,AlNas,2,AlWahda,2
20210101,United Arab Emirates UFL,BaniYas,3,AlDhafra,1
20210101,Saudi Arabia Pro League,AlAin,2,AbhaClub,4
20210101,Saudi Arabia Pro League,Dhamk,1,AlFateh,2
20210118,Brazil Serie A,Goias,0,Flamengo,3
20210118,Chile Primera,AudaxItaliano,1,UnionLaCalera,3
20210118,Uruguay Primera Division,BostonRiver,5,DeportivoMaldonado,0
20210118,Brazil Serie A,Palmeiras,4,Corinthians,0
20210118,Colombia Copa Mustang,DeportesTolima,1,OnceCaldas,1
20210118,Portugal Superliga,Portimonense,1,Belenenses,0
20210118,Italy Serie B,Spal,2,Reggiana,0
20210118,Holland Eerste Divisie,JongPSV,1,NAC,1
20210118,England Premier League,Arsenal,3,Newcastle,0
20210118,Uruguay Primera Division,PlazaColonia,0,LiverpoolFC,0
20210118,Chile Primera,SantiagoWanderers,0,DeportesLaSerena,0
20210118,Italy Serie A,Cagliari,0,ACMilan,2
20210118,Germany 2. Bundesliga,Hamburg,5,Osnabruck,0
20210118,Portugal LigaPro,Estoril,0,Covilha,0
20210118,Romania Liga I,AstraGiurgiu,1,CSUniversitateaCraiova,1
20210118,France National,Bastia,4,BastiaBorgo,0
20210118,Holland Eerste Divisie,FCUtrechtII,1,JongAjax,2
20210118,Cyprus 1. Division,DoxaKatokopias,0,AEKLarnaca,0
20210118,Oman League,AlMsnaa,1,OmanFC,0
20210118,Turkey Super Lig,Fenerbahce,3,Ankaragucu,1
20210118,Turkey Super Lig,Kasimpasa,1,Erzurumspor,2
20210118,Romania Liga I,CSMSIasi,0,Botosani,1
20210118,Egypt Premier League,Ismaily,0,AlMoqawloonAlArab,1
20210118,Oman League,Nizwa,1,BahlaClub,1
20210118,Chile Primera,Palestino,3,Cobresal,2
20210118,Iran Pro League,Perspolis,2,Foolad,1
20210118,Oman League,AlSeeb,1,AlRustaq,0
20210118,Oman League,Sohar,2,Muscat,1
20210118,Egypt Premier League,GhazlELMahallah,1,MisrLelMakasa,2
20210118,Egypt Premier League,CeramicaCleopatra,2,ElGaish,1
20210118,Iran Pro League,TractorSazi,1,Esteghlal,3
20210118,Mexico Liga MX,JaguaresChiapas,1,Atlas,0
20210118,Colombia Copa Mustang,Cali,1,JaguaresdeCordoba,0
20210118,Mexico Liga MX,SantosLaguna,2,Tigres,0
20210114,Brazil Serie B,Operario,3,CRB,2
20210114,Chile Primera,UniversidaddeChile,1,Palestino,1
20210114,Chile Primera,EvertonVinadelMar,2,AudaxItaliano,1
20210114,Costa Rica Primera,SportingSanJose,3,Herediano,2
20210114,Supercopa De Espana,RealMadrid,1,AthleticBilbao,2
20210114,Holland Eredivisie,WillemII,2,FCGroningen,3
20210114,England Premier League,Arsenal,0,CrystalPalace,0
20210114,Holland Eredivisie,FCTwente,1,Ajax,3
20210114,Romania Liga I,CFRCluj,3,AcademicaClinceni,1
20210114,Holland Eredivisie,Heerenveen,1,RKCWaalwijk,1
20210114,Greece Etniki Katigoria,ArisSalonika,0,AEKAthens,1
20210114,Saudi Arabia Pro League,IttihadJeddah,0,AbhaClub,1
20210114,Coppa Italia,Sassuolo,0,Spal,2
20210114,Greece Etniki Katigoria,Atromitos,2,Lamia,1
20210114,Romania Liga I,Botosani,0,Arges,1
20210114,Egypt Premier League,ElGouna,2,AlIttihad,0
20210114,Saudi Arabia Pro League,AlFateh,1,AlTaawon,2
20210114,Saudi Arabia Pro League,AlEttifaq,1,AlBaten,1
20210114,Jordan Pro League,AlJazeeraJordan,1,ShababAlOrdun,0
20210114,India I League,Mohammedan,0,ChurchillBrothers,0
20210114,Algeria Ligue 1,JSMSkikda,0,CSConstantine,0
20210114,Saudi Arabia Pro League,AlAin,0,AlShababRiyadh,3
20210114,Saudi Arabia Pro League,AlFaisaly,2,AlQadisiyah,2
20210114,Egypt Premier League,AswanFC,1,GhazlELMahallah,1
20210114,India I League,SudevaDelhi,3,AiffXI,0
20210114,India I League,GokulamKerala,4,Minerva,3
20210114,Costa Rica Primera,Alajuelense,2,PerezZeledon,0
20210114,Brazil Serie A,Corinthians,5,Fluminense,0
20210114,Brazil Serie B,Cruzeiro,0,Oeste,1
20210104,Brazil Serie B,Confianca,2,Nautico,0
20210104,Chile Primera,UniversidadCatolica,3,Huachipato,0
20210104,Portugal Superliga,Portimonense,2,Farense,0
20210104,Argentina Primera B Nacional,AgropecuarioArgentino,0,FerroCarrilOeste,1
20210104,Holland Eerste Divisie,FCUtrechtII,3,FCDenBosch,1
20210104,England Premier League,Southampton,1,Liverpool,0
20210104,Spain Primera Liga,Valencia,1,Cadiz,1
20210104,Brazil Serie B,Parana,1,Botafogo,1
20210104,Spain Segunda Liga,Lugo,0,SportingGijon,0
20210104,Italy Serie B,Brescia,0,Vicenza,3
20210104,Germany 2. Bundesliga,FortunaDusseldorf,2,Paderborn,1
20210104,Portugal Superliga,GilVicente,0,Belenenses,0
20210104,Holland Eerste Divisie,AZII,0,RodaJC,1
20210104,Spain Segunda Liga,Girona,0,Sabadell,0
20210104,Greece Etniki Katigoria,Lamia,2,ArisSalonika,0
20210104,Italy Serie B,Cremonese,0,Chievo,2
20210104,Italy Serie B,Frosinone,1,Spal,2
20210104,Italy Serie B,Reggiana,0,Pescara,1
20210104,Italy Serie B,Salernitana,0,Pordenone,2
20210104,Italy Serie B,VirtusEntella,1,Cittadella,0
20210104,Portugal LigaPro,Estoril,3,Penafiel,1
20210104,Jordan Pro League,ShababAlOrdun,3,AlHussein,4
20210104,Turkey Super Lig,Kasimpasa,0,Fenerbahce,3
20210104,Italy Serie B,Ascoli,2,ReggioCalabria,1
20210104,Turkey Lig 1,AdanaDemirspor,3,MenemenBelediyespor,0
20210104,Greece Etniki Katigoria,VolosNps,1,Atromitos,0
20210104,Italy Serie B,Lecce,0,Monza,0
20210104,Italy Serie B,Cosenza,0,Empoli,2
20210104,Italy Serie B,Venezia,1,Pisa,1
20210104,Portugal LigaPro,CovaPiedade,1,FCPortoII,1
20210104,Jordan Pro League,Sahab,2,Ramtha,4
20210104,Chile Primera,Palestino,4,CuricoUnido,2
20210104,Iran Pro League,Foolad,1,MesRafsanjan,1
20210104,Iran Pro League,Esteghlal,2,AluminiumArak,0
20210104,Turkey Lig 1,Eskisehirspor,0,Boluspor,2
20210104,Iran Pro League,SanatNaft,2,NaftTehran,0
