date,league,home-team,home-score,away-team,away-score
20200720,Portugal Superliga,FCPorto,6,Moreirense,1
20200720,Italy Serie A,Juventus,2,Lazio,1
20200720,England Premier League,Wolverhampton,2,CrystalPalace,0
20200720,Spain Segunda Liga,Alcorcon,2,Girona,0
20200720,Spain Segunda Liga,Almeria,0,Malaga,0
20200720,Spain Segunda Liga,Cadiz,0,Albacete,1
20200720,Spain Segunda Liga,Elche,2,RealOviedo,1
20200720,Spain Segunda Liga,Lugo,2,Mirandes,1
20200720,Spain Segunda Liga,Numancia,2,Tenerife,1
20200720,Spain Segunda Liga,RacingSantander,1,RayoVallecano,2
20200720,Spain Segunda Liga,SportingGijon,0,Huesca,1
20200720,Spain Segunda Liga,RealZaragoza,2,Ponferradina,1
20200720,Portugal Superliga,Tondela,1,Braga,0
20200720,England Premier League,Brighton,0,Newcastle,0
20200720,Sweden Allsvenskan,Hammarby,1,IFKGoteborg,1
20200720,Sweden Allsvenskan,Orebro,3,Mjallby,1
20200720,Sweden Superettan,AkropolisIF,2,VasterasSK,0
20200720,England Premier League,SheffUtd,0,Everton,1
20200720,Spain Segunda Liga,LasPalmas,5,Extremadura,1
20200720,Norway 1. Division,Strommen,0,Asane,3
20200720,Norway 1. Division,Kongsvinger,0,Grorud,1
20200720,Norway 1. Division,Sogndal,0,SandnesUlf,2
20200720,Norway 1. Division,Oeygarden,4,RaufossIL,4
20200720,Portugal Superliga,PacosFerreira,2,Portimonense,1
20200720,USA Major League Soccer,InterMiami,0,NewYorkCity,1
20200720,South Korea K League 2,AnsanGreeners,0,GyeongnamFC,0
20200720,USA MLS Is Back,Seattle,3,VancouverWhitecaps,0
20200720,USA Major League Soccer,Chicago,0,SanJose,2
20200713,Portugal Superliga,VitoriaSetubal,1,Famalicao,2
20200713,Spain Primera Liga,Granada,1,RealMadrid,2
20200713,Spain Segunda Liga,Alcorcon,0,Tenerife,0
20200713,Spain Segunda Liga,Elche,2,Albacete,0
20200713,Italy Serie A,InterMilan,3,Torino,1
20200713,Iceland Urvalsdeild,ValurReykjavik,0,StjarnanGardabae,0
20200713,Iceland Urvalsdeild,FHHafnarfjordur,1,FylkirReykjavik,2
20200713,Iceland Urvalsdeild,KRReykjavik,3,BreidablikKopavogur,1
20200713,Italy Serie B,Frosinone,2,JuveStabia,2
20200713,Italy Serie B,Ascoli,1,Empoli,0
20200713,Italy Serie B,Salernitana,4,Cittadella,1
20200713,Italy Serie B,Cremonese,1,Chievo,0
20200713,Italy Serie B,Trapani,2,Benevento,0
20200713,Italy Serie B,Livorno,0,Spezia,1
20200713,Italy Serie B,Crotone,1,Pordenone,0
20200713,Italy Serie B,VirtusEntella,1,Pisa,1
20200713,Italy Serie B,Venezia,1,Pescara,1
20200713,England Premier League,ManUtd,2,Southampton,2
20200713,Slovenia Prva Liga,RudarVelenje,0,Mura,0
20200713,Portugal Superliga,Maritimo,0,RioAve,0
20200713,Turkey Super Lig,Denizlispor,2,Trabzonspor,1
20200713,Iceland Urvalsdeild,KA,1,FjolnirReykjavik,1
20200713,Turkey Super Lig,Konyaspor,4,IstanbulBuyuksehirBSK,3
20200713,Turkey Super Lig,Malatyaspor,0,Besiktas,1
20200713,Spain Primera Liga,Villarreal,1,RealSociedad,2
20200713,Spain Primera Liga,Alaves,0,Getafe,0
20200713,Spain Segunda Liga,SportingGijon,2,Malaga,1
20200713,Spain Segunda Liga,Almeria,3,RayoVallecano,2
20200713,Sweden Allsvenskan,Kalmar,1,Elfsborg,2
20200713,Sweden Superettan,Dalkurd,1,Osters,1
20200713,Sweden Superettan,Trelleborgs,2,GAIS,0
20200713,Sweden Superettan,NorrbyIF,1,AkropolisIF,1
20200713,Italy Serie B,Cosenza,2,Perugia,1
20200713,Norway 1. Division,KFUMOslo,2,RaufossIL,1
20200713,Norway 1. Division,Grorud,3,Sogndal,1
20200713,Norway 1. Division,Asane,0,Ranheim,3
20200713,Norway 1. Division,Tromso,1,Strommen,0
20200713,Turkey Super Lig,Kayserispor,1,GaziantepBB,1
20200713,Turkey Super Lig,Kasimpasa,2,CaykurRizespor,0
20200713,Uzbekistan PRL,Pakhtakor,2,Olmaliq,2
20200713,USA MLS Is Back,TorontoFC,2,DCUnited,2
20200713,Uzbekistan PRL,Navbahor,1,Qizilqum,0
20200713,USA MLS Is Back,RealSaltLake,2,Colorado,0
20200713,USA MLS Is Back,KansasCity,1,MinnesotaStars,2
20200706,Spain Primera Liga,Sevilla,1,Eibar,0
20200706,Portugal Superliga,Moreirense,0,SportingLisbon,0
20200706,Spain Segunda Liga,RealZaragoza,2,RayoVallecano,4
20200706,England Premier League,Tottenham,1,Everton,0
20200706,Albania Superliga,TeutaDurres,1,SkenderbeuKorce,0
20200706,Turkey Super Lig,Kayserispor,3,Besiktas,1
20200706,Spain Primera Liga,Levante,1,RealSociedad,1
20200706,Spain Segunda Liga,SportingGijon,0,Girona,0
20200706,Sweden Division 1,QvidingFIF,1,Tvaakers,1
20200706,Sweden Allsvenskan,Ostersunds,0,Mjallby,1
20200706,Sweden Division 1,Brommapojkarna,2,Vasalund,1
20200706,Sweden Allsvenskan,Djurgardens,2,Helsingborgs,2
20200706,Sweden Allsvenskan,Varbergs,1,Kalmar,0
20200706,Sweden Allsvenskan,IFKNorrkoping,3,IFKGoteborg,1
20200706,Turkey Lig 1,Eskisehirspor,0,Istanbulspor,3
20200706,Turkey Lig 1,AkhisarBelediyespor,3,Balikesirspor,1
20200706,Denmark 1st Division,Viborg,4,Nykobing,3
20200706,Denmark 1st Division,Vejle,4,Roskilde,1
20200706,Norway 1. Division,Oeygarden,0,Asane,2
20200706,Norway 1. Division,Ranheim,5,Grorud,3
20200706,Norway 1. Division,Jerv,2,SandnesUlf,2
20200706,Norway 1. Division,Strommen,2,KFUMOslo,1
20200706,Norway 1. Division,Kongsvinger,0,Tromso,2
20200706,Estonia Esiliiga,Vaprus,2,FloraII,2
20200706,Albania Superliga,KFTirana,1,Kukesi,2
20200706,Albania Superliga,BylisBallsh,1,PartizaniTirana,1
20200706,Uzbekistan PRL,Nasaf,1,MetallurgBekabad,0
20200706,Uzbekistan PRL,Qizilqum,1,Andijon,1
20200706,Czech FNL,SlovanVarnsdorf,3,MFKVitkovice,1
20200706,Turkey Lig 1,FatihKaragumruk,3,Boluspor,1
20200706,Uzbekistan PRL,LokomotivTashkent,2,SurkhonTermez,1
20200706,Vietnam V League,HoChiMinhCity,1,BinhDuong,2
20200706,Vietnam V League,QuangNinh,3,NamDinh,2
20200706,South Korea K League 2,Bucheon,19951,DaejeonCitizen,0
20200706,Vietnam V League,ThanhHoa,0,DaNang,3
20200706,Vietnam V League,HoangAnhGiaLai,1,HongLinhHaTinh,0
20200701,Portugal Superliga,SportingLisbon,2,GilVicente,1
20200701,Spain Primera Liga,RealBetis,0,Villarreal,2
20200701,Spain Primera Liga,Valladolid,0,Levante,0
20200701,Italy Serie A,Lecce,1,Sampdoria,2
20200701,Spain Segunda Liga,Extremadura,3,RacingSantander,1
20200701,Spain Segunda Liga,Ponferradina,0,Fuenlabrada,3
20200701,Italy Serie A,Spal,2,ACMilan,2
20200701,Italy Serie A,HellasVerona,3,Parma,2
20200701,Italy Serie A,Fiorentina,1,Sassuolo,3
20200701,England Premier League,WestHam,3,Chelsea,2
20200701,Croatia 1.HNL,NKOsijek,1,NKRijeka,0
20200701,England Championship,SheffWed,0,WestBrom,3
20200701,Austria Bundesliga,RBSalzburg,2,SKSturmGraz,0
20200701,Switzerland Super League,NeuchatelXamax,1,StGallen,2
20200701,Switzerland Super League,FCThun,3,FCZurich,2
20200701,Norway Tippeligaen,Rosenborg,1,Valerenga,1
20200701,Austria Bundesliga,RapidVienna,3,LASKLinz,1
20200701,Greece Etniki Katigoria,Olympiacos,2,OFICrete,1
20200701,Sweden Division 1,Tvaakers,2,Trollhattan,1
20200701,Sweden Division 1,Haninge,4,Nykoping,0
20200701,Greece Etniki Katigoria,PAOKSalonika,0,AEKAthens,2
20200701,Portugal Superliga,Belenenses,1,Tondela,1
20200701,Italy Serie A,InterMilan,6,Brescia,0
20200701,Italy Serie A,Bologna,1,Cagliari,1
20200701,Spain Segunda Liga,RealOviedo,1,Mirandes,0
20200701,Spain Segunda Liga,Lugo,3,Numancia,1
