date,league,home-team,home-score,away-team,away-score
20200908,Brazil Serie B,JuventudeRS,3,Confianca,1
20200908,Mexico Liga MX,AtleticoSanLuis,2,Necaxa,1
20200908,Chile Primera,UnionEspanola,2,SantiagoWanderers,1
20200908,Morocco GNF 1,Khouribga,0,IttihadTanger,1
20200908,Peru Primera Division,DeportivoMunicipal,2,DeportivoLlacuabamba,2
20200908,Morocco GNF 1,RajaBeniMellal,0,DifaaHassaniJdidi,0
20200908,UEFA Nations League,Belgium,5,Iceland,1
20200908,UEFA Nations League,SanMarino,0,Liechtenstein,2
20200908,UEFA Nations League,Cyprus,0,Azerbaijan,1
20200908,UEFA Nations League,France,4,Croatia,2
20200908,UEFA Nations League,Denmark,0,England,0
20200908,UEFA Nations League,Luxembourg,0,Montenegro,1
20200908,UEFA Nations League,Sweden,0,Portugal,2
20200908,Peru Primera Division,RealGarcilaso,1,AcademiaCantolao,1
20200908,Qatar Stars League,AlAhli,2,AlArabi,0
20200908,Chile Primera B,UnionSanFelipe,1,DeportesTemuco,1
20200908,Bahrain Premier League,EastRiffa,1,AlMuharraq,3
20200908,Bahrain Premier League,AlHadd,0,AlRifaa,4
20200908,UEFA Nations League,Armenia,2,Estonia,0
20200908,UEFA Nations League,Georgia,1,NorthMacedonia,1
20200908,Peru Primera Division,SportHuancayo,1,CarlosStein,0
20200908,Norway 1. Division,Asane,5,Jerv,1
20200908,Norway 1. Division,Lillestrom,3,Ranheim,1
20200908,Norway 1. Division,SandnesUlf,1,Kongsvinger,0
20200908,Norway 1. Division,Sogndal,3,Strommen,0
20200908,Norway 1. Division,KFUMOslo,1,Tromso,1
20200908,Qatar Stars League,AlWakra,1,Lekhwiya,0
20200908,Qatar Stars League,UmmSalal,0,AlKhoor,0
20200908,Uzbekistan PRL,MetallurgBekabad,0,Pakhtakor,3
20200908,Chile Primera,UniversidaddeConcepcion,2,UnionLaCalera,1
20200908,China Super League,DalianAerbingFC,1,JiangsuShuntian,1
20200908,China Super League,GuangzhouRF,3,HenanJianye,1
20200908,Ecuador Liga Pro,TecnicoUniversitario,2,Orense,0
20200903,Brazil Serie A,Gremio,1,SportRecife,2
20200903,Costa Rica Primera,SportingSanJose,1,SanCarlos,0
20200903,Costa Rica Primera,Limon,1,Cartagines,1
20200903,Chile Primera B,SanLuis,1,SanMarcos,2
20200903,UEFA Nations League,Germany,1,Spain,1
20200903,UEFA Nations League,Finland,0,Wales,1
20200903,UEFA Nations League,Turkey,0,Hungary,1
20200903,UEFA Nations League,Ukraine,2,Switzerland,1
20200903,UEFA Nations League,Slovenia,0,Greece,0
20200903,UEFA Nations League,Russia,3,Serbia,1
20200903,UEFA Nations League,Bulgaria,1,RepofIreland,1
20200903,UEFA Nations League,FaroeIslands,3,Malta,2
20200903,UEFA Nations League,Moldova,1,Kosovo,1
20200903,France National,Bastia,0,Boulogne,1
20200903,Egypt Premier League,AlMoqawloonAlArab,2,AlMasry,0
20200903,Egypt Premier League,PyramidsFC,0,Zamalek,2
20200903,France National,Orleans,3,BastiaBorgo,0
20200903,Chile Primera,Palestino,1,EvertonVinadelMar,0
20200903,Qatar Stars League,AlGharrafa,2,QatarSC,0
20200903,UEFA Nations League,Latvia,0,Andorra,0
20200903,Egypt Premier League,Masr,1,HarasElHodood,1
20200903,Qatar Stars League,AlSailiya,1,AlRayyan,1
20200903,Qatar Stars League,AlKharaityat,1,AlSadd,5
20200903,Chile Primera,UniversidaddeConcepcion,2,UnionEspanola,3
20200903,Egypt Premier League,Tanta,1,AlIttihad,1
20200903,China Super League,ShandongLuneng,0,JiangsuShuntian,1
20200903,China Super League,HenanJianye,0,DalianAerbingFC,4
20200903,USA Major League Soccer,LosAngelesFC,5,SanJose,1
20200903,USA Major League Soccer,PortlandTimbers,2,LAGalaxy,3
20200903,Costa Rica Primera,Herediano,2,PerezZeledon,1
20200903,USA Major League Soccer,RealSaltLake,2,Seattle,2
20200903,Brazil Serie A,Palmeiras,1,Internacional,1
20200903,USA Major League Soccer,KansasCity,1,Dallas,1
20200903,Brazil Serie A,Santos,2,VascodaGama,2
20200903,Brazil Serie B,BrasilDePelotas,1,Cruzeiro,0
20200903,USA Major League Soccer,Nashville,1,OrlandoCity,1
20200903,USA Major League Soccer,Houston,3,MinnesotaStars,0
20200903,Ecuador Liga Pro,ElNacional,2,Emelec,1
20200903,USA Major League Soccer,NewEngland,0,NewYorkCity,2
20200903,USA Major League Soccer,NewYorkRedBulls,0,DCUnited,1
20200903,USA Major League Soccer,Cincinnati,0,Chicago,0
20200903,Brazil Serie A,Botafogo,0,Coritiba,0
20200903,Brazil Serie A,Bahia,3,Flamengo,5
20200903,Brazil Serie A,AtleticoParanaense,1,Bragantino,1
20200903,USA Major League Soccer,Columbus,1,Philadelphia,0
20200914,Chile Primera B,Barnechea,3,DeportesValdivia,3
20200914,Ecuador Liga Pro,Orense,1,Macara,2
20200914,Peru Primera Division,CarlosMannucci,0,AtleticoGrau,2
20200914,Iceland Urvalsdeild,Grotta,2,FjolnirReykjavik,2
20200914,England Premier League,Brighton,1,Chelsea,3
20200914,Holland Eerste Divisie,FCUtrechtII,1,AZII,2
20200914,Chile Primera,UniversidaddeChile,2,Cobresal,1
20200914,Portugal LigaPro,Penafiel,1,Covilha,0
20200914,Belgium Juliper League,BeerschotWilrijk,5,Genk,2
20200914,France Ligue 2,Toulouse,0,Sochaux,0
20200914,Germany DFB Pokal,MSVDuisburg,0,BorussiaDortmund,5
20200914,Egypt Premier League,AlIttihad,0,AlAhly,0
20200914,Peru Primera Division,Ayacucho,1,DeportivoMunicipal,2
20200914,Holland Eerste Divisie,NAC,2,FCDenBosch,1
20200914,Romania Liga I,ViitorulConstanta,1,CSUniversitateaCraiova,4
20200914,Russia Premier League,FKRostov,0,LokomotivMoscow,0
20200914,Denmark Superliga,AGFAarhus,4,Vejle,2
20200914,England Premier League,SheffUtd,0,Wolverhampton,2
20200914,Serbia Prva Liga,TrajalKrusevac,2,BuducnostDobanovci,1
20200914,Turkey Super Lig,Hatayspor,2,IstanbulBuyuksehirBSK,0
20200914,Sweden Allsvenskan,Ostersunds,0,Orebro,0
20200914,Sweden Allsvenskan,BKHacken,1,IKSirius,1
