League,year,month,day,homeTeam,awayTeam,homeGoals,awayGoals,matchResults
Bolivia Nacional,2018,8,6,RealPotosi,TheStrongest,0,3,-1
Bolivia Nacional,2018,8,6,RoyalPari,NacionalPotosi,5,1,1
Egypt Premier League,2018,8,6,WadiDegla,ElGouna,1,3,-1
Bolivia Nacional,2018,8,6,Guabira,SanJoseOruro,2,0,1
England Conference North,2018,8,6,CurzonAshton,Chester,0,3,-1
England Championship,2018,8,6,Hull,AstonVilla,1,3,-1
France Ligue 2,2018,8,6,Chateauroux,Lorient,1,2,-1
Northern Ireland Premier League,2018,8,6,Crusaders,Ards,4,2,1
Germany Bundesliga II,2018,8,6,DynamoDresden,MSVDuisburg,1,0,1
Germany Regionalliga West,2018,8,6,AlemanniaAachen,Wattenscheid,0,09,-1
Romania Liga I,2018,8,6,GazMetanMedias,DinamoBucharest,3,2,1
Luxembourg National Division,2018,8,6,RMHammBenfica,F91Dudelange,1,3,-1
Bulgaria A PFG,2018,8,6,SlaviaSofia,VitoshaSofia,0,2,-1
Norway Tippeligaen,2018,8,6,SKBrann,IKStart,4,1,1
Sweden Allsvenskan,2018,8,6,GIFSundsvall,IFKNorrkoping,1,1,0
Sweden Allsvenskan,2018,8,6,Elfsborg,Ostersunds,0,2,-1
Sweden Superettan,2018,8,6,IFKVarnamo,Landskrona,1,1,0
Sweden Superettan,2018,8,6,GAIS,Brage,1,1,0
Denmark Superliga,2018,8,6,Vendsyssel,AaB,0,1,-1
Egypt Premier League,2018,8,6,Ismaily,Petrojet,0,0,0
Poland Ekstraklasa,2018,8,6,CracoviaKrakow,ArkaGdynia,0,0,0
Czech Gambrinus Liga,2018,8,6,DuklaPraha,Bohemians,0,1905,-1
Serbia Super Liga,2018,8,6,Subotica,ProleterNoviSad,0,4,-1
Finland Kakkonen,2018,8,6,FCHonkaAkatemia,Espoo,2,4,-1
Finland Ykkonen,2018,8,6,FCKooTeePee,HIFK,2,1,1
Romania Liga I,2018,8,6,ViitorulConstanta,Voluntari,2,0,1
Egypt Premier League,2018,8,6,HarasElHodood,ELDaklyeh,1,2,-1
Russia Premier League,2018,8,6,Ufa,AnzhiMakhachkala,3,0,1
Georgia Umaglesi Liga,2018,8,6,ChikhuraSachkhere,KolkhetiPoti,3,1,1
Honduras Liga Nacional,2018,8,6,RealEspana,RealDeMinas,2,1,1
Colombia Copa Mustang,2018,8,6,AlianzaPetrolera,DeportesTolima,4,2,1
Bolivia Nacional,2018,8,6,OrientePetrolero,Blooming,0,3,-1
Bolivia Nacional,2018,8,1,Blooming,RealPotosi,5,0,1
Egypt Premier League,2018,8,1,NogoomElMostakbal,ElGaish,0,0,0
Champions League,2018,8,1,Rosenborg,Celtic,0,0,0
Champions League,2018,8,1,SKSturmGraz,Ajax,1,3,-1
Champions League,2018,8,1,Basle,PAOKSalonika,0,3,-1
Champions League,2018,8,1,FehervarFC,LudogoretsRazgrad,1,0,1
Germany Regionalliga North,2018,8,1,WolfsburgII,VfLOldenburg,7,0,1
Champions League,2018,8,1,Suduva,CrvenaZvezda,0,2,-1
Champions League,2018,8,1,Malmo,CFRCluj,1,1,0
Champions League,2018,8,1,Midtjylland,Astana,0,0,0
Champions League,2018,8,1,Qarabagh,Kukesi,3,0,1
Germany Regionalliga Northeast,2018,8,1,HerthaBerlinII,Altglienicke,2,3,-1
Germany Regionalliga Northeast,2018,8,1,Chemnitzer,BFCDynamo,2,0,1
Germany Regionalliga North,2018,8,1,Drochtersen/Assel,StPauliII,2,1,1
Germany Regionalliga North,2018,8,1,HansaLuneburg,Hannover,1,96,-1
Germany Regionalliga North,2018,8,1,Havelse,,3,1,1
Germany Regionalliga North,2018,8,1,Oldenburg,SSVJeddeloh,1,1,0
Egypt Premier League,2018,8,1,ElEntagElHarby,HarasElHodood,2,1,1
Germany Regionalliga North,2018,8,1,WeicheFlensburg,Lupo-MartiniWolfsburg,4,0,1
Uzbekistan PRL,2018,8,1,Pakhtakor,LokomotivTashkent,1,1,0
Europa League,2018,8,1,FolaEsch,Genk,1,4,-1
Champions League,2018,8,1,HJKHelsinki,BATEBorisov,1,2,-1
Finland Kakkonen,2018,8,1,NarpesKraft,TPVTampere,1,3,-1
Uzbekistan PRL,2018,8,1,Olmaliq,Qizilqum,3,0,1
Uzbekistan PRL,2018,8,1,Sogdiyona,Nasaf,0,1,-1
Egypt Premier League,2018,8,1,ELDaklyeh,WadiDegla,1,1,0
China Super League,2018,8,1,ShanghaiTelaishi,TianjinSongjiang,4,1,1
Singapore S-League,2018,8,1,SengkangPunggol,SingaporeArmedForces,1,2,-1
Singapore S-League,2018,8,1,YoungLions,TampinesRovers,2,1,1
Singapore S-League,2018,8,1,GeylangUnited,BalestierKhalsa,1,0,1
China Super League,2018,8,1,GuangzhouRF,BeijingRenhe,4,1,1
China Super League,2018,8,1,HenanJianye,JiangsuShuntian,0,1,-1
China Super League,2018,8,1,ChongqingLifan,GuizhouZhicheng,3,4,-1
Japan J-League,2018,8,1,KashiwaReysol,ShonanBellmare,0,2,-1
Japan J-League,2018,8,1,YokohamaFMarinos,SanfrecceHiroshima,1,4,-1
China Super League,2018,8,1,ChangchunYatai,DalianAerbingFC,3,0,1
China Super League,2018,8,1,ShandongLuneng,ShanghaiShenhua,3,1,1
Japan J-League,2018,8,1,VegaltaSendai,NagoyaGrampusEight,1,2,-1
Japan J-League,2018,8,1,KashimaAntlers,FCTokyo,1,2,-1
Japan J-League,2018,8,1,UrawaRedDiamonds,KawasakiFrontale,2,0,1
Japan J-League,2018,8,1,ShimizuS-Pulse,SaganTosu,1,0,1
Japan J-League,2018,8,1,JubiloIwata,GambaOsaka,1,1,0
Japan J-League,2018,8,1,CerezoOsaka,VisselKobe,1,1,0
Japan J-League,2018,8,1,V-VarenNagasaki,ConsadoleSapporo,2,3,-1
Brazil Serie B,2018,8,1,AtleticoGoianiense,Paysandu,1,0,1
Brazil Serie A,2018,8,8,Ceara,Santos,1,1,0
Iceland Urvalsdeild,2018,8,8,UMFGrindavik,VikingurReykjavik,2,1,1
Iceland Urvalsdeild,2018,8,8,FjolnirReykjavik,KeflavikIF,0,0,0
Egypt Premier League,2018,8,8,ElGaish,Enppi,0,3,-1
England Conference South,2018,8,8,DulwichHamlet,EastThurrockUtd,2,1,1
Champions League,2018,8,8,Celtic,AEKAthens,1,1,0
Iceland Urvalsdeild,2018,8,8,KA,FHHafnarfjordur,1,1,0
South Africa Premiership,2018,8,8,SupersportUnited,AmaZulu,1,0,1
South Africa Premiership,2018,8,8,ChippaUnited,OrlandoPirates,0,1,-1
South Africa Premiership,2018,8,8,Baroka,CapeTownCity,2,1,1
South Africa Premiership,2018,8,8,FreeStateStars,MaritzburgUnited,2,1,1
South Africa Premiership,2018,8,8,GoldenArrows,BloemfonteinCeltic,0,2,-1
Champions League,2018,8,8,SVSalzburg,Skendija,3,79,-1
Champions League,2018,8,8,PAOKSalonika,SpartakMoscow,3,2,1
Germany Regionalliga Northeast,2018,8,8,WackerNordhausen,Meuselwitz,3,0,1
Germany Regionalliga Southwest,2018,8,8,TSGBalingen,TSGHoffenheimII,0,0,0
Germany Regionalliga North,2018,8,8,Rehden,Drochtersen/Assel,1,2,-1
Germany Regionalliga North,2018,8,8,,FCGermEgestorf/Langreder,1,1,0
Germany Bundesliga III,2018,8,8,Uerdingen,Meppen,3,2,1
Germany Bundesliga III,2018,8,8,Osnabruck,,2,1860,1
Germany Bundesliga III,2018,8,8,Lotte,SonnenhofGrossaspach,0,2,-1
Germany Bundesliga III,2018,8,8,HansaRostock,Wehen,3,2,1
Germany Bundesliga III,2018,8,8,Cottbus,Unterhaching,2,2,0
Egypt Premier League,2018,8,8,AlMoqawloonAlArab,MisrLelMakasa,1,2,-1
Egypt Premier League,2018,8,8,Smouha,NogoomElMostakbal,0,0,0
Russia 1. Division,2018,8,8,ChertanovoMoscow,TorpedoArmavir,1,1,0
Germany Regionalliga Northeast,2018,8,8,OptikRathenow,ViktoriaBerlin,2,3,-1
Germany Regionalliga Northeast,2018,8,8,FSVBudissaBautzen,UnionFuerstenwalde,2,0,1
Germany Regionalliga Northeast,2018,8,8,BerlinerAK,,07,0,1
Russia 1. Division,2018,8,8,Olimpyets,LuchEnergiya,0,0,0
Germany Regionalliga Northeast,2018,8,8,Altglienicke,VfBAuerbach,1,1,0
Russia 1. Division,2018,8,8,MordoviaSaransk,SibirNovosibirsk,3,0,1
Finland Kakkonen,2018,8,8,MiPK,MyPa,1,2,-1
Finland Ykkonen,2018,8,8,ACOulu,Klubi,3,04,1
Russia 1. Division,2018,8,8,Tambov,KrasnodarII,1,2,-1
Russia 1. Division,2018,8,8,AvangardKursk,RotorVolgograd,1,0,1
Egypt Premier League,2018,8,8,Pyramids,ElEntagElHarby,1,1,0
Russia 1. Division,2018,8,8,ShinnikJaroslavl,FCKhimki,0,1,-1
Russia 1. Division,2018,8,8,ZenitStPetersburgII,DynamoStPetersburg,1,4,-1
Russia 1. Division,2018,8,8,Tyumen,EnergiyaKhabarovsk,1,1,0
Russia 1. Division,2018,8,8,SpartakMoscowII,FakelWorenesch,2,1,1
Russia 1. Division,2018,8,8,Tomsk,BaltikaKaliningrad,1,1,0
Brazil Serie B,2018,8,8,Paysandu,PontePreta,0,4,-1
Europa League,2018,8,9,Sevilla,Zalgiris,1,0,1
Europa League,2018,8,9,SlovanBratislava,RapidVienna,2,1,1
Bolivia Nacional,2018,8,9,JorgeWilstermann,SanJoseOruro,3,1,1
Europa League,2018,8,9,LegiaWarsaw,F91Dudelange,1,2,-1
Europa League,2018,8,9,Cork,Rosenborg,0,2,-1
Europa League,2018,8,9,Subotica,Brondby,0,2,-1
Europa League,2018,8,9,Hibernian,Molde,0,0,0
Europa League,2018,8,9,Rangers,Maribor,3,1,1
Europa League,2018,8,9,HajdukSplit,SteauaBucharest,0,0,0
Europa League,2018,8,9,Sarpsborg,NKRijeka,1,1,0
Europa League,2018,8,9,TheNewSaints,Midtjylland,0,2,-1
Europa League,2018,8,9,ZarjaLugansk,Braga,1,1,0
Europa League,2018,8,9,Olympiacos,Lucerne,4,0,1
Europa League,2018,8,9,Besiktas,LASKLinz,1,0,1
Europa League,2018,8,9,IstanbulBuyuksehirBSK,Burnley,0,0,0
Europa League,2018,8,9,Genk,LechPoznan,2,0,1
Europa League,2018,8,9,Vitesse,Basle,0,1,-1
Europa League,2018,8,9,Olimpija,HJKHelsinki,3,0,1
Europa League,2018,8,9,FCNordsjaelland,PartizanBelgrade,1,2,-1
Europa League,2018,8,9,CSKASofia,FCCopenhagen,1,2,-1
Europa League,2018,8,9,JagielloniaBialystok,Gent,0,1,-1
Europa League,2018,8,9,SigmaOlomouc,Kairat,2,0,1
Europa League,2018,8,9,IllichivetsMariupol,Bordeaux,1,3,-1
Europa League,2018,8,9,ApollonLimassol,DinamoBrest,4,0,1
Europa League,2018,8,9,Torpedo,Kukesi,5,2,1
Europa League,2018,8,9,Sheriff,ValurReykjavik,1,0,1
Europa League,2018,8,9,LudogoretsRazgrad,ZrinjskiMostar,1,0,1
Europa League,2018,8,9,ASTrencin,Feyenoord,4,0,1
Europa League,2018,8,9,DinamoMinsk,ZenitStPetersburg,4,0,1
Europa League,2018,8,9,HapoelSheva,ApoelNicosia,2,2,0
Europa League,2018,8,9,SKSturmGraz,AEKLarnaca,0,2,-1
Europa League,2018,8,9,RBLeipzig,CSUniversitateaCraiova,3,1,1
Europa League,2018,8,9,Alashkert,CFRCluj,0,2,-1
Europa League,2018,8,9,HapoelHaifa,Atalanta,1,4,-1
Europa League,2018,8,9,Spartaks,Suduva,0,1,-1
Estonia Esiliiga,2018,8,9,Rakvere,Elva,0,0,0
Iran Pro League,2018,8,9,EsteghlalKhuzestan,Perspolis,0,0,0
Iran Pro League,2018,8,9,NassajiMazandaran,ParsJamBushehr,1,1,0
Iran Pro League,2018,8,9,Saipa,Zobahan,0,0,0
Europa League,2018,8,9,Ufa,ProgresNiedercorn,2,1,1
South Africa Premiership,2018,8,9,HighlandsPark,BlackLeopards,2,2,0
Bolivia Nacional,2018,8,9,UniversitarioSucre,Bolivar,1,3,-1
Brazil Serie B,2018,8,3,Londrina,Guarani,1,2,-1
England Championship,2018,8,3,Reading,Derby,1,2,-1
Croatia 1.HNL,2018,8,3,DynamoZagreb,Istra,3,0,1
Ireland Division 1,2018,8,3,FinnHarps,WexfordYouths,3,0,1
Ireland Premier,2018,8,3,Waterford,Cork,1,2,-1
Egypt Premier League,2018,8,3,Enppi,Pyramids,0,1,-1
Ireland Division 1,2018,8,3,UCD,CabinteelyFC,4,1,1
Ireland Division 1,2018,8,3,Shelbourne,CobhRamblers,3,1,1
Ireland Division 1,2018,8,3,DroghedaUtd,GalwayUtd,2,2,0
Ireland Premier,2018,8,3,StPatricks,Bray,3,0,1
Ireland Premier,2018,8,3,DerryCity,Sligo,1,2,-1
Ireland Premier,2018,8,3,Bohemians,Limerick,5,0,1
Germany Bundesliga II,2018,8,3,Hamburg,HolsteinKiel,0,3,-1
Poland Ekstraklasa,2018,8,3,ZaglebieSosnowiec,PogonSzczecin,3,0,1
Belgium Juliper League,2018,8,3,Waasland,StandardLiege,0,0,0
Belgium Division 2,2018,8,3,KVSKUnited,UnionSaintGilloise,1,0,1
Switzerland Challenge League,2018,8,3,Wil,Servette,2,1,1
France Ligue 2,2018,8,3,Auxerre,AjaccioGFCO,2,3,-1
France Ligue 2,2018,8,3,Beziers,ACAjaccio,0,1,-1
France Ligue 2,2018,8,3,LeHavre,Grenoble,1,1,0
France Ligue 2,2018,8,3,Metz,Orleans,5,1,1
France Ligue 2,2018,8,3,ChamoisNiort,ClermontFoot,4,2,1
France Ligue 2,2018,8,3,Paris,Nancy,2,0,1
France Ligue 2,2018,8,3,Sochaux,Valenciennes,0,1,-1
France Ligue 2,2018,8,3,Troyes,Brestois,1,2,-1
Serbia Super Liga,2018,8,3,Cukaricki,MacvaSabac,1,0,1
Romania Liga I,2018,8,3,CSUniversitateaCraiova,Botosani,2,2,0
France National,2018,8,3,Avranches,Dunkerque,1,0,1
France National,2018,8,3,Chambly,LeMans,2,2,0
France National,2018,8,3,Marignane,Pau,1,0,1
France National,2018,8,3,SannoisSaint-Gratien,VillefrancheSurSaone,1,1,0
France National,2018,8,3,Cholet,Tours,0,1,-1
France National,2018,8,3,LyonDuchere,RodezAveyron,2,2,0
France National,2018,8,3,Laval,QuevillyRouen,1,1,0
France National,2018,8,3,JeannedArc,Boulogne,0,0,0
France National,2018,8,3,BourgPeronnas,Concarneau,1,1,0
Bulgaria A PFG,2018,8,3,Vereya,BeroeStaraZagora,0,2,-1
Germany Regionalliga Bayern,2018,8,3,FCMemmingen,Buchbach,1,0,1
Germany Regionalliga Southwest,2018,8,3,FSVFrankfurt,EintrachtStadtallendorf,0,0,0
Germany Regionalliga Southwest,2018,8,3,AstoriaWalldorf,KickersOffenbach,1,1,0
Germany Regionalliga Southwest,2018,8,3,Elversberg,WormatiaWorms,1,2,-1
Germany Regionalliga Southwest,2018,8,3,Homburg,VfBStuttgartII,3,0,1
Germany Regionalliga Northeast,2018,8,3,ViktoriaBerlin,LokomotiveLeipzig,4,1,1
Germany Regionalliga Southwest,2018,8,3,Ulm,TSGBalingen,2,0,1
Germany Regionalliga Bayern,2018,8,3,IngolstadtII,Pipinsried,2,1,1
Germany Regionalliga Bayern,2018,8,3,Burghausen,SpVggBayreuth,1,0,1
Germany Regionalliga Bayern,2018,8,3,Schweinfurt,ViktoriaAschaffenburg,1,0,1
Finland Veikkausliiga,2018,8,3,SJK,VPSVaasa,0,0,0
Germany Bundesliga III,2018,8,3,HansaRostock,Braunschweig,2,0,1
Germany Regionalliga North,2018,8,3,WerderBremenII,HamburgII,4,0,1
Czech Druha Liga,2018,8,3,Znojmo,Jihlava,0,3,-1
Croatia 1.HNL,2018,8,3,NKRijeka,InterZapresic,4,0,1
Russia Premier League,2018,8,3,DinamoMoscow,RubinKazan,1,1,0
Czech Gambrinus Liga,2018,8,3,SlaviaPrague,Opava,3,1,1
Germany Regionalliga Bayern,2018,8,3,VfBEichstatt,Schalding-Heining,0,0,0
Germany Regionalliga Southwest,2018,8,3,FreiburgII,Saarbrucken,0,1,-1
Estonia Meistriliiga,2018,8,3,JKTulevikViljandi,Vaprus,2,1,1
Iran Pro League,2018,8,3,SepidroodRasht,Sepahan,1,6,-1
Iran Pro League,2018,8,3,SanatNaft,GostareshFoolad,1,1,0
Iran Pro League,2018,8,3,Perspolis,Foolad,3,0,1
Egypt Premier League,2018,8,3,MisrLelMakasa,Smouha,1,2,-1
Ukraine UPL,2018,8,3,DynamoKiev,ShakhtarDonetsk,1,0,1
Czech Druha Liga,2018,8,3,UstinadLabem,Trinec,1,0,1
Estonia Esiliiga,2018,8,3,Keila,FloraII,1,0,1
Estonia Esiliiga,2018,8,3,Maardu,LevadiaTallinnII,3,4,-1
Georgia Umaglesi Liga,2018,8,3,DinamoTbilisi,OlimpiRustavi,2,1,1
Denmark Superliga,2018,8,3,AGFAarhus,Sonderjyske,1,0,1
Poland Ekstraklasa,2018,8,3,WislaPlock,KoronaKielce,1,2,-1
Montenegro First League,2018,8,3,Iskra,Buducnost,0,1,-1
Finland Kakkonen,2018,8,3,KaaPoKaarina,KaPa,0,1,-1
Finland Kakkonen,2018,8,3,HJS,HIFKII,6,1,1
Bulgaria A PFG,2018,8,3,BotevPlovdiv,Etar,2,0,1
Iran Pro League,2018,8,3,TractorSazi,NassajiMazandaran,1,1,0
Bolivia Nacional,2018,8,3,OrientePetrolero,NacionalPotosi,1,0,1
Bolivia Nacional,2018,8,2,SportsBoysWarnes,RoyalPari,0,3,-1
Europa League,2018,8,2,ValurReykjavik,FCSantaColoma,3,0,1
Europa League,2018,8,2,FHHafnarfjordur,HapoelHaifa,0,1,-1
Europa League,2018,8,2,RadnickiNis,MaccabiTelAviv,2,2,0
Europa League,2018,8,2,Ujpesti,Sevilla,1,3,-1
Europa League,2018,8,2,RioAve,JagielloniaBialystok,4,4,0
Egypt Premier League,2018,8,2,AlAhly,Ismaily,1,1,0
Europa League,2018,8,2,Crusaders,Olimpija,1,1,0
Europa League,2018,8,2,LaFiorita,Spartaks,0,3,-1
Europa League,2018,8,2,AZ,Kairat,2,1,1
Europa League,2018,8,2,KFDrita,F91Dudelange,1,1,0
Europa League,2018,8,2,LechPoznan,ShakhtyorSoligorsk,1,1,0
Europa League,2018,8,2,Sarpsborg,StGallen,1,0,1
Europa League,2018,8,2,Burnley,Aberdeen,1,1,0
Europa League,2018,8,2,Bordeaux,Ventspils,2,1,1
Europa League,2018,8,2,Rangers,NKOsijek,1,1,0
Europa League,2018,8,2,Domzale,Ufa,1,1,0
Europa League,2018,8,2,SteauaBucharest,RudarVelenje,4,0,1
Europa League,2018,8,2,FKSarajevo,Atalanta,0,8,-1
Europa League,2018,8,2,Maribor,ChikhuraSachkhere,2,0,1
Europa League,2018,8,2,AsterasTripoli,Hibernian,1,1,0
Europa League,2018,8,2,Besiktas,B36Torshavn,6,0,1
Europa League,2018,8,2,Vitesse,FCViitorulConstanta,3,1,1
Europa League,2018,8,2,FCCopenhagen,StjarnanGardabae,5,0,1
Europa League,2018,8,2,Vikingur,Torpedo,0,4,-1
Europa League,2018,8,2,SlovanBratislava,BalzanYouths,3,1,1
Europa League,2018,8,2,Atromitos,DinamoBrest,1,1,0
Europa League,2018,8,2,IllichivetsMariupol,Djurgardens,1,1,0
Sweden Superettan,2018,8,2,Helsingborgs,NorrbyIF,2,0,1
Europa League,2018,8,2,ApollonLimassol,FKZeljeznicar,3,1,1
Europa League,2018,8,2,SpartaPrague,Subotica,2,1,1
Europa League,2018,8,2,Admira,CSKASofia,1,3,-1
Europa League,2018,8,2,ProgresNiedercorn,BudapestHonved,2,0,1
Europa League,2018,8,2,AIKStockholm,FCNordsjaelland,0,1,-1
Europa League,2018,8,2,FCVaduz,Zalgiris,1,1,0
Europa League,2018,8,2,LincolnRedImps,TheNewSaints,1,1,0
Europa League,2018,8,2,BKHacken,RBLeipzig,1,1,0
Europa League,2018,8,2,Lillestrom,LASKLinz,1,2,-1
Iran Pro League,2018,8,2,Zobahan,Esteghlal,2,2,0
Iran Pro League,2018,8,2,EsteghlalKhuzestan,PadidehKhorasan,1,2,-1
Iran Pro League,2018,8,2,Paykan,Saipa,3,0,1
Europa League,2018,8,2,FloraTallinn,ApoelNicosia,2,0,1
Europa League,2018,8,2,Valletta,ZrinjskiMostar,1,2,-1
Europa League,2018,8,2,Trakai,PartizanBelgrade,1,1,0
Iran Pro League,2018,8,2,ParsJamBushehr,NaftTehran,2,0,1
Egypt Premier League,2018,8,2,ElGouna,AlMasry,0,1,-1
Uzbekistan PRL,2018,8,2,Bunyodkor,Qoqon,1,1912,-1
Estonia Esiliiga,2018,8,2,JKWelcoElekter,JKTallinnaKalevII,1,3,-1
Europa League,2018,8,2,SlaviaSofia,HajdukSplit,2,3,-1
Europa League,2018,8,2,DinamoMinsk,DACDunajskaStreda,4,1,1
Europa League,2018,8,2,AEKLarnaca,Dundalk,4,0,1
Europa League,2018,8,2,ASTrencin,GornikZabrze,4,1,1
Uzbekistan PRL,2018,8,2,Bukhara,MetallurgBekabad,2,1,1
Europa League,2018,8,2,Laci,Molde,0,2,-1
Europa League,2018,8,2,Alashkert,Sutjeska,0,0,0
Uzbekistan PRL,2018,8,2,Neftchi,Navbahor,2,1,1
China Super League,2018,8,2,TianjinTeda,Guangzhou,0,3,-1
China Super League,2018,8,2,BeijingGuoan,HebeiZhongji,6,3,1
Colombia Copa Mustang,2018,8,2,NacionaldeMedellin,BoyacaPatriotas,0,0,0
Bolivia Nacional,2018,8,2,SanJoseOruro,Aurora,3,2,1
Bolivia Nacional,2018,8,2,TheStrongest,ClubDestroyers,4,1,1
Europa League,2018,8,16,Braga,ZarjaLugansk,2,2,0
Europa League,2018,8,16,ValurReykjavik,Sheriff,2,1,1
Egypt Premier League,2018,8,16,MisrLelMakasa,Zamalek,0,1,-1
Europa League,2018,8,16,Rosenborg,Cork,3,0,1
Europa League,2018,8,16,Bordeaux,IllichivetsMariupol,2,1,1
England League Cup,2018,8,16,Sunderland,SheffWed,0,2,-1
Europa League,2018,8,16,Burnley,IstanbulBuyuksehirBSK,0,0,0
Europa League,2018,8,16,NKRijeka,Sarpsborg,0,1,-1
Europa League,2018,8,16,PartizanBelgrade,FCNordsjaelland,3,2,1
Europa League,2018,8,16,SteauaBucharest,HajdukSplit,2,1,1
Europa League,2018,8,16,Gent,JagielloniaBialystok,3,1,1
Europa League,2018,8,16,RapidVienna,SlovanBratislava,4,0,1
Europa League,2018,8,16,Feyenoord,ASTrencin,1,1,0
Europa League,2018,8,16,Maribor,Rangers,0,0,0
Europa League,2018,8,16,LechPoznan,Genk,1,2,-1
Europa League,2018,8,16,Basle,Vitesse,1,0,1
Europa League,2018,8,16,Brondby,Subotica,2,1,1
Europa League,2018,8,16,Atalanta,HapoelHaifa,2,0,1
Europa League,2018,8,16,F91Dudelange,LegiaWarsaw,2,2,0
Europa League,2018,8,16,ZrinjskiMostar,LudogoretsRazgrad,1,1,0
Europa League,2018,8,16,DinamoBrest,ApollonLimassol,1,0,1
Europa League,2018,8,16,LASKLinz,Besiktas,2,1,1
Europa League,2018,8,16,MaccabiTelAviv,Pyunik,2,1,1
Europa League,2018,8,16,Lucerne,Olympiacos,1,3,-1
Europa League,2018,8,16,Zalgiris,Sevilla,0,5,-1
Europa League,2018,8,16,Molde,Hibernian,3,0,1
Europa League,2018,8,16,Suduva,Spartaks,0,0,0
Europa League,2018,8,16,Kukesi,Torpedo,2,0,1
Europa League,2018,8,16,Midtjylland,TheNewSaints,3,1,1
Europa League,2018,8,16,ApoelNicosia,HapoelSheva,3,1,1
Europa League,2018,8,16,ZenitStPetersburg,DinamoMinsk,4,0,1
Europa League,2018,8,16,CFRCluj,Alashkert,5,0,1
Europa League,2018,8,16,CSUniversitateaCraiova,RBLeipzig,1,1,0
Europa League,2018,8,16,FCCopenhagen,CSKASofia,2,1,1
Europa League,2018,8,16,HJKHelsinki,Olimpija,1,4,-1
Iran Pro League,2018,8,16,ParsJamBushehr,Esteghlal,1,0,1
Iran Pro League,2018,8,16,Paykan,GostareshFoolad,1,1,0
Iran Pro League,2018,8,16,Foolad,NassajiMazandaran,2,1,1
Estonia Esiliiga,2018,8,16,NommeJKKaljuII,JKTallinnaKalevII,1,1,0
Estonia Esiliiga,2018,8,16,FCSantosTartu,JKWelcoElekter,1,3,-1
Finland Kakkonen,2018,8,16,MP,MiPK,1,3,-1
Finland Kakkonen,2018,8,16,TampereUnited,TPVTampere,0,1,-1
Europa League,2018,8,16,AEKLarnaca,SKSturmGraz,5,0,1
Europa League,2018,8,16,ProgresNiedercorn,Ufa,2,2,0
Iran Pro League,2018,8,16,SepidroodRasht,PadidehKhorasan,0,2,-1
Europa League,2018,8,16,Kairat,SigmaOlomouc,1,2,-1
USA Major League Soccer,2018,8,16,LosAngelesFC,RealSaltLake,2,0,1
Honduras Liga Nacional,2018,8,16,Vida,Motagua,1,2,-1
Honduras Liga Nacional,2018,8,16,Platense,RealDeMinas,4,1,1
Honduras Liga Nacional,2018,8,16,RealEspana,HondurasProgreso,3,2,1
Honduras Liga Nacional,2018,8,16,CDOlimpia,LobosUPNFM,1,0,1
Honduras Liga Nacional,2018,8,16,Juticalpa,Marathon,1,1,0
USA Major League Soccer,2018,8,16,DCUnited,PortlandTimbers,4,1,1
Iceland Urvalsdeild,2018,8,13,ValurReykjavik,UMFGrindavik,4,0,1
Portugal Superliga,2018,8,13,Portimonense,Boavista,0,2,-1
Algeria Ligue 1,2018,8,13,MCAlger,Paradou,1,1,0
Turkey Lig 1,2018,8,13,Istanbulspor,AfjetAfyonspor,4,3,1
Turkey Super Lig,2018,8,13,Kayserispor,Antalyaspor,2,0,1
England Conference South,2018,8,13,ChelmsfordCity,DulwichHamlet,2,2,0
England Conference South,2018,8,13,Wealdstone,Woking,1,0,1
Germany Bundesliga II,2018,8,13,FCKoln,UnionBerlin,1,1,0
Germany Regionalliga Southwest,2018,8,13,FSVFrankfurt,WaldhofMannheim,1,5,-1
Romania Liga I,2018,8,13,DinamoBucharest,ViitorulConstanta,1,0,1
Serbia Prva Liga,2018,8,13,BoracCacak,Indjija,0,4,-1
Iceland Urvalsdeild,2018,8,13,VikingurReykjavik,BreidablikKopavogur,2,3,-1
Luxembourg National Division,2018,8,13,F91Dudelange,Differdange,0,2,-1
Bulgaria A PFG,2018,8,13,SeptemvriSofia,BotevVratsa,1,2,-1
Russia Premier League,2018,8,13,RubinKazan,ZenitStPetersburg,0,1,-1
Denmark Superliga,2018,8,13,Esbjerg,Sonderjyske,1,0,1
Germany Bundesliga III,2018,8,13,PreussenMunster,Lotte,1,0,1
Norway Tippeligaen,2018,8,13,Haugesund,Valerenga,1,0,1
Sweden Allsvenskan,2018,8,13,IFKNorrkoping,Hammarby,0,0,0
Sweden Allsvenskan,2018,8,13,Trelleborgs,GIFSundsvall,1,6,-1
Sweden Superettan,2018,8,13,JonkopingSodra,IFKVarnamo,1,3,-1
Czech Gambrinus Liga,2018,8,13,Bohemians,,1905,0,1
Poland Ekstraklasa,2018,8,13,KoronaKielce,SlaskWroclaw,2,1,1
Finland Ykkonen,2018,8,13,ACOulu,EIF,1,1,0
Russia Premier League,2018,8,13,Ufa,Krasnodar,0,1,-1
South Korea K-League Challenge,2018,8,13,SuwonCity,Bucheon,2,1995,1
South Korea K-League Challenge,2018,8,13,GwangjuFC,KoreanPolice,2,2,0
USA Major League Soccer,2018,8,13,Seattle,Dallas,2,1,1
Mexico la Division,2018,8,13,Tijuana,CruzAzul,1,1,0
Colombia Copa Mustang,2018,8,13,Junior,Huila,3,0,1
